DayOfWeek,Hour,Minute,CPU Util,CPU Load,VMs No,Initialing VMs,Running VMs,Quarantined VMs,RunningCloudlets,Throughput
6,1,57,0.0,0.0,3,0,3,0,0,100.0
6,1,58,33.333333333333336,33.333333333333336,3,0,3,0,1,98.11320754716981
6,1,59,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,2,0,0.0,0.0,3,0,3,0,0,102.17391304347827
6,2,1,100.0,300.0,3,0,3,0,9,80.43478260869566
6,2,2,100.0,533.3333333333334,3,0,3,0,16,89.23076923076924
6,2,3,66.66666666666667,66.66666666666667,3,0,3,0,2,128.0
6,2,4,0.0,0.0,3,0,3,0,0,104.65116279069768
6,2,5,33.333333333333336,33.333333333333336,3,0,3,0,1,98.11320754716981
6,2,6,66.66666666666667,66.66666666666667,3,0,3,0,2,97.95918367346938
6,2,7,0.0,0.0,3,0,3,0,0,108.69565217391303
6,2,8,33.333333333333336,33.333333333333336,3,0,3,0,1,98.21428571428571
6,2,9,0.0,0.0,3,0,3,0,0,102.17391304347827
6,2,10,0.0,0.0,3,0,3,0,0,100.0
6,2,11,100.0,200.0,3,0,3,0,6,86.36363636363636
6,2,12,33.333333333333336,33.333333333333336,3,0,3,0,1,112.5
6,2,13,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,2,14,100.0,300.0,3,0,3,0,9,76.47058823529412
6,2,15,0.0,0.0,3,0,3,0,0,116.66666666666667
6,2,16,0.0,0.0,3,0,3,0,0,100.0
6,2,17,33.333333333333336,33.333333333333336,3,0,3,0,1,97.72727272727273
6,2,18,0.0,0.0,3,0,3,0,0,103.33333333333334
6,2,19,66.66666666666667,66.66666666666667,3,0,3,0,2,83.33333333333334
6,2,20,33.333333333333336,33.333333333333336,3,0,3,0,1,102.85714285714285
6,2,21,0.0,0.0,3,0,3,0,0,104.34782608695652
6,2,22,33.333333333333336,33.333333333333336,3,0,3,0,1,95.0
6,2,23,0.0,0.0,3,0,3,0,0,103.03030303030303
6,2,24,100.0,200.0,3,0,3,0,6,91.04477611940298
6,2,25,66.66666666666667,66.66666666666667,3,0,3,0,2,111.42857142857143
6,2,26,66.66666666666667,100.0,3,0,3,0,3,98.0
6,2,27,33.333333333333336,66.66666666666667,3,0,3,0,2,102.17391304347827
6,2,28,33.333333333333336,33.333333333333336,3,0,3,0,1,103.7037037037037
6,2,29,100.0,166.66666666666666,3,0,3,0,5,88.57142857142857
6,2,30,0.0,0.0,3,0,3,0,0,115.625
6,2,31,33.333333333333336,33.333333333333336,3,0,3,0,1,96.29629629629629
6,2,32,0.0,0.0,3,0,3,0,0,103.44827586206897
6,2,33,0.0,0.0,3,0,3,0,0,100.0
6,2,34,0.0,0.0,3,0,3,0,0,100.0
6,2,35,0.0,0.0,3,0,3,0,0,100.0
6,2,36,33.333333333333336,33.333333333333336,3,0,3,0,1,97.87234042553192
6,2,37,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,2,38,0.0,0.0,3,0,3,0,0,103.33333333333334
6,2,39,0.0,0.0,3,0,3,0,0,100.0
6,2,40,33.333333333333336,33.333333333333336,3,0,3,0,1,97.36842105263158
6,2,41,50.0,50.0,2,0,2,0,1,100.0
6,2,42,0.0,0.0,2,0,2,0,0,102.94117647058823
6,2,43,100.0,100.0,2,0,2,0,2,95.74468085106383
6,2,44,0.0,0.0,2,0,2,0,0,105.55555555555556
6,2,45,0.0,0.0,2,0,2,0,0,100.0
6,2,46,50.0,50.0,2,0,2,0,1,96.29629629629629
6,2,47,50.0,50.0,2,0,2,0,1,100.0
6,2,48,0.0,0.0,2,0,2,0,0,103.33333333333334
6,2,49,0.0,0.0,2,0,2,0,0,100.0
6,2,50,50.0,50.0,2,0,2,0,1,95.23809523809523
6,2,51,0.0,0.0,2,0,2,0,0,104.0
6,2,52,100.0,300.0,2,0,2,0,6,80.0
6,2,53,0.0,0.0,2,0,2,0,0,125.0
6,2,54,100.0,850.0,2,0,2,0,17,69.0909090909091
6,2,55,50.0,50.0,2,0,2,0,1,164.0
6,2,56,50.0,50.0,2,0,2,0,1,100.0
6,2,57,50.0,50.0,2,0,2,0,1,100.0
6,2,58,100.0,400.0,2,0,2,0,8,83.33333333333334
6,2,59,50.0,50.0,2,0,2,0,1,120.0
6,3,0,0.0,0.0,2,0,2,0,0,102.56410256410255
6,3,1,0.0,0.0,3,1,2,0,0,100.0
6,3,2,0.0,0.0,3,1,2,0,0,100.0
6,3,3,0.0,0.0,3,1,2,0,0,100.0
6,3,4,33.333333333333336,33.333333333333336,3,1,2,0,1,95.83333333333334
6,3,5,66.66666666666667,66.66666666666667,3,0,3,0,2,96.96969696969697
6,3,6,33.333333333333336,33.333333333333336,3,0,3,0,1,102.22222222222221
6,3,7,0.0,0.0,3,0,3,0,0,102.38095238095238
6,3,8,0.0,0.0,3,0,3,0,0,100.0
6,3,9,0.0,0.0,3,0,3,0,0,100.0
6,3,10,0.0,0.0,3,0,3,0,0,100.0
6,3,11,0.0,0.0,3,0,3,0,0,100.0
6,3,12,33.333333333333336,33.333333333333336,3,0,3,0,1,97.77777777777777
6,3,13,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,3,14,0.0,0.0,3,0,3,0,0,104.0
6,3,15,0.0,0.0,3,0,3,0,0,100.0
6,3,16,66.66666666666667,66.66666666666667,3,0,3,0,2,93.33333333333333
6,3,17,33.333333333333336,33.333333333333336,3,0,3,0,1,103.57142857142858
6,3,18,0.0,0.0,3,0,3,0,0,103.33333333333334
6,3,19,66.66666666666667,133.33333333333334,3,0,3,0,4,87.87878787878788
6,3,20,33.333333333333336,33.333333333333336,3,0,3,0,1,113.63636363636364
6,3,21,0.0,0.0,3,0,3,0,0,106.66666666666667
6,3,22,0.0,0.0,3,0,3,0,0,100.0
6,3,23,0.0,0.0,3,0,3,0,0,100.0
6,3,24,0.0,0.0,3,0,3,0,0,100.0
6,3,25,33.333333333333336,33.333333333333336,3,0,3,0,1,97.2972972972973
6,3,26,0.0,0.0,3,0,3,0,0,101.72413793103448
6,3,27,0.0,0.0,3,0,3,0,0,100.0
6,3,28,0.0,0.0,3,0,3,0,0,100.0
6,3,29,100.0,100.0,3,0,3,0,3,86.95652173913044
6,3,30,0.0,0.0,3,0,3,0,0,111.11111111111111
6,3,31,66.66666666666667,100.0,3,0,3,0,3,92.6829268292683
6,3,32,0.0,0.0,3,0,3,0,0,109.09090909090908
6,3,33,0.0,0.0,3,0,3,0,0,100.0
6,3,34,0.0,0.0,3,0,3,0,0,100.0
6,3,35,66.66666666666667,66.66666666666667,3,0,3,0,2,92.3076923076923
6,3,36,0.0,0.0,3,0,3,0,0,108.33333333333333
6,3,37,0.0,0.0,3,0,3,0,0,100.0
6,3,38,100.0,100.0,3,0,3,0,3,90.32258064516128
6,3,39,66.66666666666667,66.66666666666667,3,0,3,0,2,110.00000000000001
6,3,40,66.66666666666667,66.66666666666667,3,0,3,0,2,100.0
6,3,41,0.0,0.0,2,0,2,0,0,105.40540540540539
6,3,42,100.0,150.0,2,0,2,0,3,90.0
6,3,43,100.0,150.0,2,0,2,0,3,100.0
6,3,44,0.0,0.0,2,0,2,0,0,108.8235294117647
6,3,45,50.0,50.0,2,0,2,0,1,96.0
6,3,46,0.0,0.0,2,0,2,0,0,103.57142857142858
6,3,47,0.0,0.0,2,0,2,0,0,100.0
6,3,48,0.0,0.0,2,0,2,0,0,100.0
6,3,49,0.0,0.0,2,0,2,0,0,100.0
6,3,50,50.0,50.0,2,0,2,0,1,95.45454545454545
6,3,51,100.0,250.0,2,0,2,0,5,78.94736842105263
6,3,52,50.0,50.0,2,0,2,0,1,130.76923076923077
6,3,53,0.0,0.0,2,0,2,0,0,102.77777777777777
6,3,54,100.0,150.0,2,0,2,0,3,82.35294117647058
6,3,55,0.0,0.0,2,0,2,0,0,115.78947368421053
6,3,56,0.0,0.0,2,0,2,0,0,100.0
6,3,57,50.0,100.0,2,0,2,0,2,93.54838709677419
6,3,58,0.0,0.0,2,0,2,0,0,105.71428571428572
6,3,59,50.0,100.0,2,0,2,0,2,95.55555555555556
6,4,0,0.0,0.0,2,0,2,0,0,104.54545454545455
6,4,1,0.0,0.0,3,1,2,0,0,100.0
6,4,2,0.0,0.0,3,1,2,0,0,100.0
6,4,3,0.0,0.0,3,1,2,0,0,100.0
6,4,4,0.0,0.0,3,1,2,0,0,100.0
6,4,5,0.0,0.0,3,0,3,0,0,100.0
6,4,6,0.0,0.0,3,0,3,0,0,100.0
6,4,7,0.0,0.0,3,0,3,0,0,100.0
6,4,8,33.333333333333336,33.333333333333336,3,0,3,0,1,96.29629629629629
6,4,9,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,4,10,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,4,11,100.0,500.0,2,0,2,0,10,82.0
6,4,12,100.0,200.0,2,0,2,0,4,118.75
6,4,13,50.0,50.0,2,0,2,0,1,113.04347826086956
6,4,14,50.0,50.0,2,0,2,0,1,100.0
6,4,15,0.0,0.0,2,0,2,0,0,102.32558139534885
6,4,16,0.0,0.0,2,0,2,0,0,100.0
6,4,17,50.0,50.0,2,0,2,0,1,95.45454545454545
6,4,18,100.0,100.0,2,0,2,0,2,95.23809523809523
6,4,19,0.0,0.0,2,0,2,0,0,112.5
6,4,20,0.0,0.0,2,0,2,0,0,100.0
6,4,21,50.0,50.0,2,0,2,0,1,96.42857142857143
6,4,22,50.0,50.0,2,0,2,0,1,100.0
6,4,23,0.0,0.0,2,0,2,0,0,103.57142857142858
6,4,24,0.0,0.0,2,0,2,0,0,100.0
6,4,25,0.0,0.0,2,0,2,0,0,100.0
6,4,26,50.0,50.0,2,0,2,0,1,96.55172413793103
6,4,27,0.0,0.0,2,0,2,0,0,112.5
6,4,28,0.0,0.0,2,0,2,0,0,100.0
6,4,29,0.0,0.0,2,0,2,0,0,100.0
6,4,30,0.0,0.0,2,0,2,0,0,100.0
6,4,31,0.0,0.0,3,1,2,0,0,100.0
6,4,32,66.66666666666667,66.66666666666667,3,1,2,0,2,94.44444444444444
6,4,33,33.333333333333336,33.333333333333336,3,1,2,0,1,103.125
6,4,34,66.66666666666667,200.0,3,1,2,0,6,87.17948717948718
6,4,35,0.0,0.0,3,0,3,0,0,118.18181818181819
6,4,36,33.333333333333336,33.333333333333336,3,0,3,0,1,95.45454545454545
6,4,37,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,4,38,0.0,0.0,3,0,3,0,0,102.63157894736842
6,4,39,0.0,0.0,3,0,3,0,0,100.0
6,4,40,0.0,0.0,3,0,3,0,0,100.0
6,4,41,33.333333333333336,33.333333333333336,3,0,3,0,1,95.23809523809523
6,4,42,0.0,0.0,3,0,3,0,0,107.14285714285714
6,4,43,0.0,0.0,3,0,3,0,0,100.0
6,4,44,0.0,0.0,3,0,3,0,0,100.0
6,4,45,33.333333333333336,33.333333333333336,3,0,3,0,1,96.0
6,4,46,0.0,0.0,3,0,3,0,0,103.2258064516129
6,4,47,0.0,0.0,3,0,3,0,0,100.0
6,4,48,0.0,0.0,3,0,3,0,0,100.0
6,4,49,0.0,0.0,3,0,3,0,0,100.0
6,4,50,66.66666666666667,66.66666666666667,3,0,3,0,2,93.54838709677419
6,4,51,0.0,0.0,2,0,2,0,0,114.28571428571428
6,4,52,100.0,150.0,2,0,2,0,3,88.88888888888889
6,4,53,0.0,0.0,2,0,2,0,0,114.28571428571428
6,4,54,0.0,0.0,2,0,2,0,0,100.0
6,4,55,0.0,0.0,2,0,2,0,0,100.0
6,4,56,0.0,0.0,2,0,2,0,0,100.0
6,4,57,50.0,50.0,2,0,2,0,1,94.73684210526315
6,4,58,100.0,100.0,2,0,2,0,2,96.0
6,4,59,0.0,0.0,2,0,2,0,0,105.0
6,5,0,0.0,0.0,2,0,2,0,0,100.0
6,5,1,0.0,0.0,3,1,2,0,0,100.0
6,5,2,33.333333333333336,33.333333333333336,3,1,2,0,1,94.44444444444444
